Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of Sphingobacteriaceae,Sept_B1,0,0,0,0,0,0,0,0.03,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sept_B2,0,0,0,0,0,0,0,0,0.01,0.02,0
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of Sphingobacteriaceae,Sept_B2,0,0,0,0,0,0,0,0,0,0.03,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.02
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Genus of Sphingobacteriaceae,Jan_B2,0,0,0.01,0.01,0,0,0,0,0,0,0
d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of Pedosphaeraceae,Sept_B2,0,0,0,0,0,0,0,0,0.01,0.01,0
d__Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.02
d__Bacteria,Planctomycetota,BD7-11,BD7-11,BD7-11,BD7-11,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.02
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Phreatobacter,Jan_IB,0,0,0,0,0.01,0.01,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,Sept_B1,0,0,0,0,0,0,0,0.02,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,Sept_B2,0,0,0,0,0,0,0,0,0,0.02,0
d__Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Genus of Nocardioidaceae,Jan_IB,0,0,0,0,0,0.02,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Sept_B1,0,0,0,0,0,0,0,0.02,0,0,0
d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,DEV114,Sept_B2,0,0,0,0,0,0,0,0,0,0.02,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.02
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Family of Rhodospirillales,Genus of Rhodospirillales,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.02
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,Jan_B2,0,0,0,0.01,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sept_B1,0,0,0,0,0,0,0,0.02,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,Jan_B1,0,0.02,0,0,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Sept_B2,0,0,0,0,0,0,0,0,0,0.02,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.01
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Jan_B2,0,0,0,0.01,0,0,0,0,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,Jan_B1,0.01,0,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,Jan_IB,0,0,0,0,0.01,0,0,0,0,0,0
d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of Pedosphaeraceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.01
d__Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,Sept_B1,0,0,0,0,0,0,0,0.01,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Jan_IB,0,0,0,0,0.01,0,0,0,0,0,0
