Kingdom,Phylum,Class,Order,Family,Genus,Sample_name,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
d__Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Genus of Caulobacteraceae,Jan_B2,0,0,0.05,0.07,0,0,0,0,0,0,0
d__Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Jan_IB,0,0,0,0,0.07,0.06,0,0,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Genus of Nitrosomonadaceae,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.07,0
d__Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Genus of Myxococcaceae,Sept_B2,0,0,0,0,0,0,0,0,0.07,0.06,0
d__Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Aridibacter,Sept_B2,0,0,0,0,0,0,0,0,0.08,0.05,0
d__Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Genus of Microbacteriaceae,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.13
d__Bacteria,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,JG36-TzT-191,JG36-TzT-191,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.07,0
d__Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,Pla4_lineage,Pla4_lineage,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.06,0
d__Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilaceae,Sept_B1,0,0,0,0,0,0,0.04,0.08,0,0,0
d__Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,Sept_B1,0,0,0,0,0,0,0.09,0.04,0,0,0
d__Bacteria,Planctomycetota,BD7-11,BD7-11,BD7-11,BD7-11,Jan_B2,0,0,0.05,0.07,0,0,0,0,0,0,0
d__Bacteria,Acidobacteriota,Blastocatellia,11-24,11-24,11-24,Jan_IB,0,0,0,0,0.06,0.07,0,0,0,0,0
d__Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter,Sept_B1,0,0,0,0,0,0,0.07,0.05,0,0,0
d__Bacteria,Elusimicrobiota,Lineage_IIc,Lineage_IIc,Lineage_IIc,Lineage_IIc,Sept_B1,0,0,0,0,0,0,0.08,0.04,0,0,0
d__Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Family of Fimbriimonadales,Genus of Fimbriimonadales,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.12
d__Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,Jan_B2,0,0,0.05,0.07,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,Jan_IB,0,0,0,0,0.05,0.07,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Genus of Beijerinckiaceae,Jan_IB,0,0,0,0,0.06,0.06,0,0,0,0,0
d__Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Genus of Isosphaeraceae,Jan_B1,0.08,0.04,0,0,0,0,0,0,0,0,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Genus of Micropepsaceae,Jan_B1,0.06,0.06,0,0,0,0,0,0,0,0,0
d__Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,Sept_B2,0,0,0,0,0,0,0,0,0.05,0.07,0
d__Bacteria,Myxococcota,bacteriap25,bacteriap25,bacteriap25,bacteriap25,Sept_B2,0,0,0,0,0,0,0,0,0.06,0.06,0
d__Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Sept_B1,0,0,0,0,0,0,0.05,0.07,0,0,0
d__Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of Pedosphaeraceae,Sept_B1,0,0,0,0,0,0,0.06,0.06,0,0,0
d__Bacteria,Planctomycetota,vadinHA49,vadinHA49,vadinHA49,vadinHA49,Sept_B1,0,0,0,0,0,0,0.07,0.05,0,0,0
d__Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,KD3-93,KD3-93,Sept_B1,0,0,0,0,0,0,0.08,0.04,0,0,0
d__Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,Sept_IB,0,0,0,0,0,0,0,0,0,0,0.12
