Kingdom,Phylum,Class,Order,Family,Genus,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE3,OBER.Mn.SE4,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
Bacteria,Chloroflexi,Anaerolineae,SBR1031, compost bacterium, compost bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,SBR1031,Order_SBR1031,Order_SBR1031,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Chloroflexi,JG30-KF-CM66, Chloroflexi bacterium, Chloroflexi bacterium, Chloroflexi bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales, candidate division SBR1093 bacterium, candidate division SBR1093 bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae, Acidobacterium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,Family_Babeliaceae,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,Family_UBA12409,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae, soil bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Elusimicrobia,Elusimicrobia,Lineage IV,groundwater ,groundwater ,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Family XII,Exiguobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Order_Bacillales,Order_Bacillales,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0
