Kingdom,Phylum,Class,Order,Family,Genus,OBER.Mn.JE1,OBER.Mn.JE2,OBER.Mn.JE3,OBER.Mn.JE4,OBER.Mn.JO1,OBER.Mn.JO2,OBER.Mn.SE1,OBER.Mn.SE2,OBER.Mn.SE3,OBER.Mn.SE4,OBER.Mn.SE5,OBER.Mn.SE6,OBER.Mn.SO1
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Family_Reyranellaceae,0.44,0.44,0.7,0.47,0.23,0.17,0.57,0.33,0.67,0.71,0.47,0.37,0.13
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,0.94,1.04,0.97,1.34,0.03,0.03,0.3,0.2,0.07,0,0.3,0.27,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Family_Rhodobacteraceae,0.44,0.54,0.54,0.57,0.23,0.2,0.47,0.23,0.17,0.37,0.44,0.44,0.84
Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,Order_Obscuribacterales,Order_Obscuribacterales,0.07,0.1,0.37,0.5,0.91,0.91,0.6,0.73,0.2,0.17,0.3,0.24,0.37
Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,Family_JG30-KF-CM45,0.17,0.2,0.2,0.13,0.5,0.5,0.4,0.87,0.47,0.4,0.34,0.41,0.74
Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,0.13,0.1,0.13,0.13,0.74,0.77,0.93,0.47,0.94,0.47,0.24,0.2,0.07
Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,0.34,0.3,0.27,0.34,0.17,0.27,0.73,0.57,1.01,0.5,0.37,0.34,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Candidatus Accumulibacter,0.07,0.07,0.03,0.07,0.07,0.07,1.47,0.9,0.37,0.54,0.84,0.64,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Nordella,0.34,0.34,0.47,0.37,0.17,0.2,0.3,0.43,0.57,0.54,0.47,0.47,0.47
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,0.54,0.6,0.67,0.57,0.2,0.13,0.2,0.4,0.44,0.24,0.3,0.41,0.27
Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,0.64,0.44,0.6,0.57,0.97,0.77,0.2,0.17,0.07,0.03,0.17,0.14,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,0.17,0.17,0.23,0.34,0.3,0.3,0.87,0.73,0.23,0.24,0.54,0.51,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1,0.4,0.54,0.97,0.87,0.1,0.13,0.4,0.23,0.27,0.27,0.3,0.24,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,0.64,0.67,0.74,0.64,0.3,0.3,0.23,0.13,0.13,0.2,0.3,0.34,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Bordetella,0.2,0.23,0.2,0.6,0.2,0.13,0.27,0.2,0.64,0.2,0.24,0.98,0.34
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Schlesneria,0.27,0.34,0.27,0.34,0.34,0.27,0.3,0.4,0.17,0.3,0.37,0.3,0.77
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,Family_Rubinisphaeraceae,0.1,0.13,0.23,0.17,1.11,1.18,0.2,0.13,0.1,0.1,0.17,0.2,0.54
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,0.4,0.4,0.4,0.34,0.23,0.2,0.37,0.13,0.13,0.34,0.47,0.44,0.3
Bacteria,Planctomycetes,OM190,Class_OM190,Class_OM190,Class_OM190,0.17,0.1,0.13,0.37,0.07,0.03,0.67,0.37,0.37,0.67,0.64,0.51,0.07
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,0.24,0.27,0.2,0.2,0.74,0.84,0.07,0.13,0.1,0.03,0.1,0.14,1.04
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,0.1,0.17,0.1,0.2,1.01,0.77,0.33,0.3,0.1,0.2,0.37,0.37,0.07
Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14,0.2,0.17,0.23,0.17,0.4,0.27,0.23,0.27,0.17,0.3,0.2,0.24,1.21
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,0.17,0.2,0.17,0.23,0.57,0.5,0.27,0.27,0.27,0.2,0.24,0.37,0.34
Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,Family_A4b,0.3,0.2,0.27,0.23,0.13,0.17,0.37,0.5,0.4,0.27,0.44,0.41,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,0.17,0.2,0.17,0.47,0.2,0.1,0.23,0.17,0.57,0.17,0.2,0.84,0.27
Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,Kingdom_Bacteria,0.47,0.27,0.17,0.27,0.44,0.74,0.17,0.03,0.27,0.37,0.07,0.1,0.37
Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,0.13,0.2,0.2,0.17,0.03,0.03,0.37,0.53,0.47,0.4,0.54,0.44,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13, sludge bacterium, sludge bacterium,0.34,0.34,0.33,0.4,0.2,0.13,0.27,0.37,0.27,0.24,0.3,0.24,0.2
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,Family_env.OPS 17,0,0,0.03,0.2,0.94,1.01,0.1,0.07,0.2,0.07,0.37,0.3,0.2
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),DS-100,Order_DS-100,Order_DS-100,0.17,0.2,0.23,0.13,0.17,0.17,0.43,0.37,0.3,0.27,0.51,0.44,0.1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Amb-16S-1323,Family_Amb-16S-1323,0.24,0.27,0.27,0.2,0,0,0.5,0.4,0.37,0.4,0.44,0.41,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Hoeflea,0.1,0.1,0.07,0.13,0,0.03,0.5,0.3,0.07,0.13,0.98,1.05,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,0.34,0.3,0.37,0.27,0.1,0.13,0.27,0.37,0.27,0.17,0.3,0.34,0.24
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,0.03,0.03,0.03,0.23,0.07,0.1,0.3,0.13,0,0.07,0.1,0.1,2.19
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,JGI 0001001-H03,0.13,0.17,0.23,0.27,0.27,0.3,0.2,0.13,0.1,0.1,0.47,0.37,0.5
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,0.4,0.44,0.67,0.34,0.1,0.1,0.07,0,0.07,0.17,0.27,0.2,0.4
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,0.3,0.23,0.23,0.23,0.47,0.4,0.57,0.27,0.13,0.07,0.13,0.14,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Candidatus Nitrotoga,0.2,0.2,0.23,0.23,0.94,0.87,0.07,0.07,0.03,0.03,0.07,0.1,0.13
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Family_Microbacteriaceae,0.27,0.34,0.27,0.37,0.1,0.03,0.13,0.4,0.2,0.27,0.27,0.34,0.13
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,Family_SC-I-84,0.2,0.2,0.3,0.27,0.07,0.07,0.27,0.6,0.3,0.2,0.24,0.2,0.13
Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Family_Fimbriimonadaceae,0,0.07,0.13,0.1,0.57,0.6,0.1,0.03,0.1,0.1,0.24,0.17,0.77
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,0.4,0.4,0.57,0.47,0.1,0.07,0.07,0.07,0.3,0.37,0.07,0.07,0.03
Bacteria,Acidobacteria,Subgroup 17,Class_Subgroup 17,Class_Subgroup 17,Class_Subgroup 17,0.13,0.1,0.13,0.13,0.13,0.13,0.4,0.43,0.27,0.17,0.34,0.3,0.1
Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Elev-16S-1166,0.24,0.27,0.23,0.27,0.27,0.27,0.07,0.1,0.17,0.17,0.13,0.17,0.4
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Family_Hyphomicrobiaceae,0.3,0.23,0.33,0.3,0.1,0.07,0.23,0.2,0.13,0.2,0.2,0.17,0.27
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9 marine group,Family_NS9 marine group,0,0,0,0,1.04,1.07,0,0,0,0,0,0.03,0.57
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Family_Methyloligellaceae,0.17,0.2,0.17,0.13,0.17,0.2,0.2,0.4,0.27,0.17,0.24,0.24,0.17
Bacteria,Patescibacteria,Parcubacteria,Candidatus Adlerbacteria,Order_Candidatus Adlerbacteria,Order_Candidatus Adlerbacteria,0.44,1.31,0.33,0.34,0,0,0.1,0,0.03,0,0.03,0.07,0.03
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),11-24,Order_11-24,Order_11-24,0.1,0.13,0.13,0.17,0.07,0.07,0.37,0.23,0.2,0.27,0.4,0.34,0.07
Bacteria,Omnitrophicaeota,Phylum_Omnitrophicaeota,Phylum_Omnitrophicaeota,Phylum_Omnitrophicaeota,Phylum_Omnitrophicaeota,0.07,0.03,0.23,0.03,0,0,0.1,0.07,1.24,0.5,0.13,0.1,0
Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Family_Acetobacteraceae,0.07,0.07,0.07,0.1,0.23,0.24,0.5,0.27,0.34,0.24,0.2,0.17,0.03
Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Family_Verrucomicrobiaceae,0.17,0.17,0.17,0.13,0.57,0.5,0.07,0.13,0.03,0.03,0.07,0.07,0.37
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Family_Gemmatimonadaceae,0.1,0.13,0.1,0.13,0.1,0.13,0.27,0.4,0.3,0.3,0.2,0.2,0.03
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,0.1,0.13,0.1,0.3,0.1,0.07,0.1,0.1,0.47,0.1,0.1,0.54,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Massilia,0.1,0.13,0.17,0.3,0.23,0.17,0.13,0.1,0.23,0.1,0.1,0.47,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Family_Enterobacteriaceae,0.13,0.1,0.1,0.3,0.1,0.07,0.1,0.1,0.34,0.1,0.13,0.57,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,0.03,0.07,0.07,0.1,0.94,0.91,0.03,0,0,0.03,0.03,0.07,0
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,Family_B1-7BS,0.13,0.1,0.1,0.07,0.3,0.2,0.13,0.13,0.13,0.17,0.2,0.2,0.37
Bacteria,Proteobacteria,Deltaproteobacteria,Class_Deltaproteobacteria,Class_Deltaproteobacteria,Class_Deltaproteobacteria,0.13,0.13,0.17,0.13,0.1,0.1,0.17,0.2,0.27,0.27,0.27,0.17,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,TRA3-20,Family_TRA3-20,0.17,0.13,0.13,0.17,0.17,0.2,0.3,0.13,0.17,0.2,0.2,0.2,0.03
Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter,0.1,0.1,0.1,0.23,0.1,0.07,0.13,0.13,0.3,0.07,0.1,0.51,0.17
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Order_Rhodospirillales,Order_Rhodospirillales,0.13,0.1,0.13,0.34,0,0,0.17,0.13,0.37,0.4,0.17,0.17,0
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Sphaerotilus,0.27,0.27,0.33,0.4,0.03,0.03,0.33,0.07,0.03,0.03,0.13,0.14,0.03
Bacteria,Chloroflexi,TK10,Class_TK10,Class_TK10,Class_TK10,0.07,0.1,0.17,0.1,0.1,0.07,0.13,0.1,0.2,0.1,0.17,0.17,0.61
Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Family_Pedosphaeraceae,0.1,0.07,0.1,0.07,0.7,0.54,0.17,0.1,0.13,0.07,0.03,0,0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,0.24,0.2,0.23,0.2,0.07,0.07,0.13,0.17,0.13,0.17,0.2,0.17,0.07
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,0.1,0.1,0.2,0.37,0,0,0.2,0.23,0.1,0.13,0.27,0.27,0.03
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Blastocatella,0.1,0.07,0.1,0.1,0.34,0.34,0.13,0.1,0.1,0.1,0.1,0.14,0.27
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7,0.13,0.13,0.2,0.23,0.13,0.13,0.17,0.07,0.07,0.17,0.13,0.14,0.2
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Family_Xanthomonadaceae,0.07,0.03,0.07,0.07,0.13,0.17,0.27,0.1,0.2,0.27,0.24,0.17,0.1
Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,Family_67-14,0.13,0.17,0.17,0.1,0.03,0.03,0.1,0.37,0.3,0.13,0.13,0.17,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,0.1,0.07,0.07,0.07,0.07,0.07,0.03,0.1,0.1,0.1,0.03,0.1,0.94
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,0,0.03,0.03,0.03,0.03,0,0.03,0,0.34,1.14,0.1,0.07,0.03
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,0.1,0.1,0.13,0.2,0.07,0.1,0.17,0.13,0.07,0.17,0.27,0.3,0.03
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,Family_NS11-12 marine group,0,0.03,0,0,0.74,0.74,0,0.03,0.1,0.1,0,0.03,0.07
Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Sporichthya,0.07,0.07,0.1,0.27,0,0,0.07,0.03,0.1,0.61,0.2,0.27,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Dechloromonas,0.03,0,0.03,0,0,0,0.7,0.23,0,0.1,0.34,0.34,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus Nomurabacteria,Order_Candidatus Nomurabacteria,Order_Candidatus Nomurabacteria,0.3,0.17,0.2,0.34,0.03,0.07,0.33,0.03,0.03,0,0.03,0.17,0
Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Phaeodactylibacter,0,0,0,0.1,0.17,0.1,0.1,0.03,0.1,0.37,0.3,0.3,0.1
Bacteria,Chloroflexi,Dehalococcoidia,S085,Order_S085,Order_S085,0.1,0.1,0.1,0.13,0.07,0.03,0.17,0.13,0.17,0.13,0.13,0.17,0.2
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,0.44,0.4,0.4,0.34,0,0,0.03,0,0,0,0,0.03,0
Bacteria,Proteobacteria,Alphaproteobacteria,Micavibrionales,Order_Micavibrionales,Order_Micavibrionales,0.1,0.07,0.07,0.1,0.1,0.1,0,0,0.47,0.57,0,0,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Family_Gallionellaceae,0.1,0.07,0,0.1,0.67,0.67,0,0,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Order_Betaproteobacteriales,Order_Betaproteobacteriales,0.13,0.13,0.2,0.17,0.1,0.13,0.1,0.07,0.07,0.17,0.1,0.1,0.07
Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26, soil bacterium,0,0,0,0.03,0,0,0.23,0.2,0.34,0.27,0.3,0.17,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,0.13,0.13,0.13,0.3,0,0,0.07,0.03,0,0.03,0.07,0.1,0.5
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Panacagrimonas,0.03,0.03,0,0.07,0,0,0.47,0.4,0.2,0.3,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Ovatusbacter,0.13,0.13,0.13,0.13,0.07,0.03,0.07,0.1,0.07,0.07,0.07,0.07,0.4
Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,0.17,0.13,0.17,0.13,0.03,0.07,0.1,0.17,0.1,0.1,0.13,0.14,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Family_Nitrosomonadaceae,0.13,0.1,0.2,0.2,0.13,0.13,0.17,0.1,0.1,0.07,0.07,0.07,0
Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j, organism, organism,0.1,0.13,0.1,0.1,0.07,0.07,0.13,0.1,0.03,0.17,0.17,0.17,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Family_Rhodocyclaceae,0.17,0.13,0.1,0.13,0,0,0.43,0.23,0.03,0.03,0.07,0.1,0
Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,0.07,0.03,0.07,0.07,0.07,0.13,0.2,0.07,0.27,0.03,0,0.14,0.27
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Family_Sphingobacteriaceae,0,0,0,0,0.07,0.03,0,0.03,0,0,0,0.03,1.21
Bacteria,Acidobacteria,Subgroup 22,Class_Subgroup 22,Class_Subgroup 22,Class_Subgroup 22,0.07,0.07,0.1,0.07,0.03,0.07,0.13,0.07,0.17,0.24,0.13,0.14,0.07
Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.1,0.1,0.13,0.13,0.1,0.07,0.03,0.13,0.13,0.13,0.07,0.07,0.13
Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Aridibacter,0.07,0.03,0.07,0.07,0.2,0.24,0.03,0.1,0.03,0.07,0.07,0.03,0.3
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Family_Rhodospirillaceae,0.03,0.03,0,0.03,0.37,0.34,0.07,0.03,0.07,0.03,0.03,0.03,0.2
Bacteria,WPS-2,Phylum_WPS-2,Phylum_WPS-2,Phylum_WPS-2,Phylum_WPS-2,0.1,0.1,0.13,0.13,0.03,0.03,0.13,0,0.07,0.07,0.07,0.07,0.34
Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,Order_PLTA13,Order_PLTA13,0.1,0.1,0.13,0.1,0.03,0,0.1,0.1,0.1,0.2,0.1,0.14,0.03
Bacteria,Chloroflexi,JG30-KF-CM66,Class_JG30-KF-CM66,Class_JG30-KF-CM66,Class_JG30-KF-CM66,0.13,0.2,0.2,0.13,0.03,0.03,0.07,0.07,0.03,0.1,0.13,0.07,0.03
Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Fimbriiglobus,0.07,0.03,0.1,0.07,0.1,0.07,0.1,0.13,0.1,0.1,0.1,0.07,0.2
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,0.03,0.07,0.07,0.07,0.4,0.4,0.1,0,0,0,0,0,0.1
Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae, verrucomicrobium DEV064,0,0,0,0,0.54,0.57,0,0,0,0,0,0,0.1
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Family_Rhodanobacteraceae,0.03,0,0.03,0.03,0.03,0.03,0.2,0.13,0.1,0.17,0.24,0.17,0
Bacteria,Bacteroidetes,Ignavibacteria,OPB56,Order_OPB56,Order_OPB56,0.1,0.07,0.1,0.07,0.03,0,0.13,0.2,0.13,0.13,0.1,0.1,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Family_Beijerinckiaceae,0.03,0.03,0.07,0.03,0.07,0.07,0.07,0.1,0.03,0.03,0.1,0.03,0.47
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,0.03,0,0,0.03,0.23,0.3,0.07,0.07,0.03,0.03,0.07,0.07,0.2
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17, Bacteroidetes bacterium,0.13,0.13,0.07,0.1,0,0,0.13,0.07,0.3,0.13,0.03,0.03,0
Bacteria,Planctomycetes,BD7-11, PHOS-HE93, PHOS-HE93, PHOS-HE93,0,0,0,0,0.5,0.54,0.03,0,0,0,0,0.03,0
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,AKYH767,Family_AKYH767,0,0,0,0.07,0.44,0.47,0.03,0.03,0,0,0.03,0,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,Dongia,0.07,0.1,0.1,0.03,0.03,0.07,0.17,0.17,0.13,0.1,0.07,0.07,0
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,0.07,0.07,0.1,0,0,0,0.07,0.13,0.07,0.03,0.13,0.1,0.3
Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,0.07,0.07,0.03,0.2,0.07,0.03,0.07,0.1,0.07,0.07,0.07,0.07,0.17
Bacteria,Chloroflexi,KD4-96,Class_KD4-96,Class_KD4-96,Class_KD4-96,0.1,0.13,0.13,0.13,0.03,0.03,0.1,0.13,0.07,0.03,0.07,0.07,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ramlibacter,0,0.03,0.03,0.03,0,0,0.03,0.03,0,0,0.03,0.03,0.81
Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Family_Steroidobacteraceae,0.07,0.07,0.07,0.07,0.13,0.1,0.07,0.1,0.07,0.03,0.03,0.07,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,0.03,0.07,0.07,0.13,0.03,0.03,0.07,0.13,0.1,0.1,0.07,0.07,0.13
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,0.3,0.27,0.03,0,0.07,0.07,0,0,0,0,0,0,0.27
Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,0.03,0.03,0.03,0.03,0.13,0.17,0.07,0.1,0.1,0.1,0.03,0.1,0.07
Bacteria,Patescibacteria,Microgenomatia,Candidatus Daviesbacteria,Order_Candidatus Daviesbacteria,Order_Candidatus Daviesbacteria,0.2,0.03,0.6,0.13,0,0,0,0,0,0,0,0.03,0
Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0.91
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,0,0,0,0,0,0,0.1,0.07,0.17,0.24,0.24,0.17,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,0.03,0.03,0.03,0.1,0,0,0.07,0.1,0.07,0.1,0.13,0.1,0.2
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,KF-JG30-B3,Family_KF-JG30-B3,0.13,0.1,0.13,0.13,0.03,0.03,0.03,0.07,0.1,0.03,0.07,0.07,0.03
Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,KD3-93,Family_KD3-93,0.03,0,0.03,0.07,0.27,0.34,0.07,0.03,0.03,0.03,0.03,0.03,0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Salmonella,0.03,0.07,0.07,0.13,0.03,0.03,0.1,0.1,0.07,0.1,0.07,0.07,0.1
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Williamsia,0.44,0.44,0,0,0,0,0,0,0,0,0.03,0.03,0
Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,0.03,0.03,0.07,0.07,0.13,0.13,0.1,0.07,0.03,0.07,0.07,0.07,0.07
Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,0.03,0,0.03,0.07,0.13,0.17,0.1,0.1,0.1,0.07,0.07,0.07,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Family_Caulobacteraceae,0,0.03,0.03,0.07,0.07,0.03,0,0,0,0,0.07,0.03,0.57
Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,0.03,0,0.03,0.03,0.13,0.13,0.1,0,0.1,0,0,0,0.3
Bacteria,Elusimicrobia,Elusimicrobia,Lineage IV, Termite group 1 bacterium, Termite group 1 bacterium,0.27,0.1,0.13,0.23,0,0,0.03,0.03,0,0,0,0.03,0
Bacteria,Dependentiae,Babeliae,Babeliales,Order_Babeliales,Order_Babeliales,0.03,0.03,0.17,0.03,0,0,0,0.03,0,0,0,0,0.5
